Lambda,Policy,Total Latency (s),Total Latency std (s),Avg Inference Time (s),Inference Time std (s),Avg Device Queue Length,Avg Cloud Queue Length
0.1,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.12786121668279163,0.023979588747237615,0.12700816413191018,0.022284802256087553,8.545399255617613e-05,0.0
0.1,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1316447265044242,0.04782134116372311,0.13067025683662525,0.04671365824859762,0.0,9.76168752633745e-05
0.1,Round Robin 2x Device,0.12699983206047433,0.022270773820379404,0.12699669359255408,0.02226623387928965,0.0,0.0
0.1,Round Robin 2x Cloud,0.13084881319555808,0.046855991472139535,0.13084468906911806,0.04685058712803689,0.0,0.0
0.1,Round Robin (Device/Cloud),0.12887097300011693,0.036707788761521545,0.12886705764963077,0.03670419168686917,1.6365294170118744e-07,2.2856478619672057e-07
0.1,Stateless Threshold,0.12655263393460567,0.031475694394836336,0.12604649885179398,0.03075226160467546,4.3238575204514284e-05,7.463182535084192e-06
0.1,HERO,0.1259133170335924,0.030883884055111038,0.12590895795874518,0.030881727967066633,3.337039494376537e-07,1.0296358282059864e-07
0.2,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.12873236326445048,0.0255753190087339,0.12701345049089438,0.022271874464876083,0.0003443819627746825,0.0
0.2,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13263617937068717,0.04893295509217254,0.13067052196479179,0.04671323422180902,0.0,0.00039381693871741604
0.2,Round Robin 2x Device,0.12701402971661505,0.022304499755897992,0.12700196761922314,0.02228689703562178,0.0,0.0
0.2,Round Robin 2x Cloud,0.13086189289869912,0.046867202663228295,0.13084488541373152,0.046850412715420134,0.0,0.0
0.2,Round Robin (Device/Cloud),0.12888233012653216,0.03671756915178006,0.12886856413682096,0.036704455356352805,1.0775398708245038e-06,1.6804584903655826e-06
0.2,Stateless Threshold,0.12705264372097375,0.032930996124904,0.1260782331073712,0.03156333898197609,0.00015819886641048886,3.7023048009923525e-05
0.2,HERO,0.1259859493676665,0.031115149368751274,0.1259713754619103,0.031102924431471737,2.0978043939495064e-06,8.220589175800758e-07
0.30000000000000004,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.12961943097438594,0.027176801439683453,0.12700757558896938,0.0222878966206678,0.0007849227803363244,0.0
0.30000000000000004,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13367571524364005,0.0500921951678715,0.1306702078602365,0.046713955380013314,0.0,0.0009032243063491436
0.30000000000000004,Round Robin 2x Device,0.12702383474081058,0.02231232167084704,0.12699610504961328,0.022271622241323133,0.0,0.0
0.30000000000000004,Round Robin 2x Cloud,0.13088461627640227,0.04688759767514282,0.13084449488380154,0.04684994325273016,0.0,0.0
0.30000000000000004,Round Robin (Device/Cloud),0.12890109880549194,0.03673163489541274,0.12886773739359447,0.03669831071237212,4.1610948835984305e-06,5.86477898158876e-06
0.30000000000000004,Stateless Threshold,0.12756308114022966,0.0357687190639318,0.1262173313196811,0.03395142827750561,0.00027074999919069327,0.00013367886371522185
0.30000000000000004,HERO,0.1260580493798866,0.031238212003707678,0.12602757822194513,0.031209797416878075,6.539178723507189e-06,2.6181071933386214e-06
0.4,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.1305108353379606,0.02875596232170006,0.12697717825659402,0.022286031902165805,0.0014159272227810052,0.0
0.4,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13474487471152544,0.05130223308045759,0.13066845017405498,0.04671432446515637,0.0,0.0016334127963469878
0.4,Round Robin 2x Device,0.12701741552272072,0.022360065975605907,0.12696570771723792,0.022284231082729616,0.0,0.0
0.4,Round Robin 2x Cloud,0.13091705589169128,0.04691767970641227,0.1308428676946421,0.046849220639247284,0.0,0.0
0.4,Round Robin (Device/Cloud),0.12891438547172887,0.0367636707263921,0.12885206896640666,0.036701867981076434,1.0904694497627844e-05,1.4065368067935683e-05
0.4,Stateless Threshold,0.12799524099564583,0.036267262178564956,0.12618710265811678,0.03386046861828526,0.0004805421712096455,0.00024397418030052727
0.4,HERO,0.1260875642347615,0.031341196916150754,0.12603238438125272,0.031286530330409276,1.5455466135614052e-05,6.65495862408412e-06
0.5,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13147009451806033,0.030320360401987212,0.12699463151881366,0.02228734948263799,0.0022416329676040888,0.0
0.5,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13584055944287055,0.05252289991819437,0.13066951088413428,0.046712930654586066,0.0,0.0025900322313189765
0.5,Round Robin 2x Device,0.12706621772878507,0.022401765288449095,0.12698316097945758,0.022280594939563282,0.0,0.0
0.5,Round Robin 2x Cloud,0.13096326247477152,0.046958894955100056,0.13084381066772005,0.04684993718989543,0.0,0.0
0.5,Round Robin (Device/Cloud),0.1289556237567964,0.03681176369247757,0.12885539791172587,0.03671065136822872,2.1744331289099093e-05,2.8455964236612828e-05
0.5,Stateless Threshold,0.12848802215502866,0.036975767925941865,0.12620323825484164,0.03392775683679004,0.0007628015154257424,0.00038158220955288524
0.5,HERO,0.1261735599777213,0.03156071718389208,0.1260871025036636,0.0314710530326521,2.978160682861128e-05,1.352250076492202e-05
0.6,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13245208334487954,0.03186082070822219,0.12700567454490153,0.02226108313669354,0.003273542614639077,0.0
0.6,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13696866014873482,0.05376681313149565,0.13067009707214086,0.046713914484757126,0.0,0.0037857268406529944
0.6,Round Robin 2x Device,0.12711571324622403,0.0224610857636925,0.12699420400554542,0.02228127639791231,0.0,0.0
0.6,Round Robin 2x Cloud,0.1310185151589545,0.047009125884671175,0.130844428672466,0.04685071619485522,0.0,0.0
0.6,Round Robin (Device/Cloud),0.1290101516167384,0.03685825607111426,0.1288642691636939,0.03670898861579607,3.74670246813578e-05,5.021505378478795e-05
0.6,Stateless Threshold,0.12895843938321475,0.03760770061807814,0.1261869477210425,0.033924250765171526,0.00111465430086543,0.0005511399689008976
0.6,HERO,0.12627001707090635,0.03172144705718926,0.1261468877653572,0.03159150875534886,5.232662860008692e-05,2.1679764185773445e-05
0.7000000000000001,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13344206977955309,0.03343523698753845,0.12699729662257822,0.02228127289645471,0.004519206389733026,0.0
0.7000000000000001,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13812393536992956,0.05504086676439765,0.13066963799631467,0.04671383954379196,0.0,0.005227105766879998
0.7000000000000001,Round Robin 2x Device,0.12715210820373526,0.022520227564905945,0.12698582608322212,0.022273218683807928,0.0,0.0
0.7000000000000001,Round Robin 2x Cloud,0.13108190465201514,0.0470668883916261,0.1308439887041115,0.046850851845544966,0.0,0.0
0.7000000000000001,Round Robin (Device/Cloud),0.1290688018179601,0.03690976889675558,0.12886731177573457,0.03670071059044148,5.995878768844176e-05,8.133014551483721e-05
0.7000000000000001,Stateless Threshold,0.1294829273328297,0.038401342157350825,0.1262318425415399,0.0340888582762428,0.001514482111779469,0.0007652450084272226
0.7000000000000001,HERO,0.12631627259056494,0.03185544062922088,0.1261514188657485,0.03168000887044095,7.807682200810158e-05,3.7521985942509e-05
0.8,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13450065973773,0.035002555215879104,0.12701285349018052,0.02227881330296937,0.006000688390378843,0.0
0.8,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13931815882513784,0.05634798578603406,0.13067050340469075,0.04671376767777602,0.0,0.0069301859855036155
0.8,Round Robin 2x Device,0.12722012731600563,0.022610506937700094,0.1270013829508244,0.022283677689572602,0.0,0.0
0.8,Round Robin 2x Cloud,0.13115612087458203,0.047132221129156104,0.1308449158242684,0.04685002065074045,0.0,0.0
